team,map,ban,pick
Paper Rex,Abyss,325,0
Paper Rex,Ascent,3210,0
Paper Rex,Bind,168,430
Paper Rex,Corrode,848,0
Paper Rex,Fracture,168,268
Paper Rex,Haven,5712,0
Paper Rex,Icebox,663,396
Paper Rex,Lotus,454,2232
Paper Rex,Pearl,700,284
Paper Rex,Split,314,312
Paper Rex,Sunset,0,201
